nda_number,product_number,nadac_NDC
17512,8,
17512,9,
17512,10,
17512,11,
17512,12,
17512,13,
17512,14,
17512,15,
17513,1,
17514,1,
17516,1,
17518,1,
17521,1,
17521,2,
17521,3,
17521,4,
17521,5,
17521,6,
17522,1,378808345
17525,1,
17525,2,
17525,3,
17525,4,
17525,6,
17525,7,
17525,8,
17528,1,
17530,1,
17531,6,
17532,1,93947753
17532,2,93947753
17532,3,93947753
17533,1,61269061010
17533,2,61269061010
17533,3,61269061010
17533,5,61269061010
17533,6,61269061010
17534,3,
17534,5,
17535,1,
17535,2,
17536,1,
17538,1,
17540,1,
17540,2,
17540,3,
17540,4,
17540,5,
17543,1,
17543,2,
17543,3,
17546,1,
17548,1,
17549,1,
17550,1,
17550,3,
17551,1,
17553,1,
17555,1,
17555,2,
17555,3,
17556,1,10631009476
17557,2,
17557,3,
17557,4,
17558,1,
17559,1,
17560,1,
17560,2,
17561,1,
17562,1,
17563,1,9026004
17563,2,9026004
17563,3,9026004
17563,4,9026004
17565,1,
17565,2,
17566,1,
17569,1,
17571,1,
17573,1,
17575,1,
17575,2,
17576,1,
17577,1,
17579,2,378808645
17581,2,
17581,3,
17581,4,
17584,1,
17584,2,
17585,1,
17586,1,
17588,1,
17588,2,
17588,3,
17588,4,
17589,1,
17594,1,
17598,1,
17598,2,
17601,1,
17603,1,
17604,2,42195030809
17604,3,42195030809
17604,4,42195030809
17605,1,
17606,1,
17607,1,
17608,1,
17609,1,
17610,1,
17612,1,
17613,1,
17618,1,
17618,2,
17619,1,
17624,1,
17628,1,
17628,2,
17630,1,
17630,2,
17630,3,
17633,1,
17634,1,
17634,2,
17634,3,
17634,4,
17635,1,
17636,1,
17637,2,
17638,1,
17641,1,
17643,1,
17648,1,
17648,2,
17648,3,
17648,4,
17648,5,
17651,3,
17651,5,
17651,6,
17651,8,
17653,1,
17655,1,
17656,1,
17657,1,
17658,1,
17659,1,
17661,1,
17661,2,
17661,3,
17664,1,
17667,1,
17668,1,
17669,1,
17670,1,
17672,1,
17673,1,
17673,2,
17673,3,
17673,4,
17673,5,
17673,6,
17673,7,
17673,8,
17673,9,
17675,1,
17675,2,
17680,1,
17681,1,69315021001
17684,1,
17685,1,
17687,1,
17687,2,
